okrsek	celkem	ANO	ODS	CSSD	KSCM	KDU	SZ	TOP	CP	Usv	SSO	Ost
500054_1001	7413	678	820	352	-1	932	454	1506	22	-1	360	2289
500054_1002	10248	1096	907	713	-1	1124	121	2473	51	-1	667	3096
500054_1003	6571	503	480	385	-1	1061	235	1603	14	-1	209	2081
500054_1004	9166	856	1271	672	-1	889	306	2069	37	-1	158	2908
500054_1005	6952	788	672	619	-1	416	118	2077	25	-1	280	1957
500054_1006	11420	1352	1686	1235	-1	917	316	2095	35	-1	448	3336
500054_1007	10692	1300	1106	1224	-1	987	402	2200	24	-1	407	3042
500054_1008	9046	1001	1159	896	-1	660	487	2292	15	-1	256	2280
500054_1009	8699	1419	1490	500	-1	693	305	1918	19	-1	261	2094
500054_1010	4899	565	409	458	-1	318	424	1073	9	-1	201	1442
500054_1011	11863	1823	991	1669	-1	863	584	2459	19	-1	479	2976
500054_1012	8247	920	880	925	-1	611	547	1785	22	-1	265	2292
500054_1013	5004	552	800	706	-1	356	185	1122	13	-1	88	1182
500054_1014	11586	1778	1477	1759	-1	563	371	2919	16	-1	480	2223
500054_1015	12186	1557	1351	1715	-1	639	784	2373	26	-1	359	3382
500054_1016	7025	1129	1130	812	-1	351	331	1475	8	-1	286	1503
500054_1017	7668	1470	780	1266	-1	317	379	1442	9	-1	282	1723
500054_1018	7648	1335	969	935	-1	632	188	1492	6	-1	471	1620
500054_1019	9327	1552	1406	701	-1	592	209	2495	24	-1	437	1911
500054_1020	6175	637	836	817	-1	328	227	1607	17	-1	231	1475
500054_1021	11830	1647	1426	1002	-1	872	366	3318	35	-1	400	2764
500089_2001	5791	836	1027	249	198	350	504	599	-1	-1	42	1986
500089_2002	5755	575	1306	539	136	78	366	657	-1	-1	108	1990
500089_2003	8952	873	2616	848	132	436	358	918	-1	-1	359	2412
500089_2004	11026	1214	3381	584	254	294	772	1452	-1	-1	261	2814
500089_2005	8311	1155	2470	1051	269	448	707	1446	-1	-1	261	504
500089_2006	8800	959	1749	579	198	663	1901	1620	-1	-1	346	785
500089_2007	10253	853	3263	561	398	552	1319	1889	-1	-1	477	941
500089_2008	7812	1008	1783	939	102	166	1299	1432	-1	-1	354	729
500089_2009	9484	1034	2405	1017	265	710	1068	1740	-1	-1	478	767
500089_2010	11181	1837	2723	563	200	500	922	1559	-1	-1	369	2508
500089_2011	9169	1003	2821	569	234	309	760	1920	-1	-1	291	1262
500089_2012	9212	1012	2320	559	333	264	1154	1084	-1	-1	435	2051
500089_2013	6935	734	1610	611	248	287	480	1042	-1	-1	382	1541
500089_2014	6578	883	2230	404	203	346	786	1404	-1	-1	147	175
500089_2015	6974	1021	1423	360	198	133	412	1721	-1	-1	169	1537
500089_2016	10741	1647	3797	356	501	411	1188	1971	-1	-1	450	420
500089_2017	9515	1031	2734	686	215	397	1310	1477	-1	-1	993	672
500089_2018	10446	2020	2845	1171	319	358	821	1361	-1	-1	304	1247
500089_2019	8092	1143	1899	922	280	450	841	1031	-1	-1	409	1117
500089_2020	9346	1144	2527	545	345	217	1133	1317	-1	-1	902	1216
500089_2021	7695	1287	1602	560	387	226	764	870	-1	-1	209	1790
500089_2022	8942	1120	2868	659	152	608	918	1055	-1	-1	831	731
500089_2023	10923	1363	3186	848	511	448	1151	1391	-1	-1	208	1817
500089_2024	11072	1566	3052	745	347	179	823	1581	-1	-1	551	2228
500089_2025	9065	1287	2543	341	335	364	1348	1864	-1	-1	453	530
500089_2026	9572	719	3537	672	217	320	1054	1622	-1	-1	611	820
500089_2027	10352	991	2495	821	463	475	1046	1987	-1	-1	370	1704
500089_2028	12710	2088	3053	895	723	692	1455	1690	-1	-1	366	1748
500089_2029	6818	1646	1338	619	432	259	507	728	-1	-1	226	1063
500089_2030	7259	1224	2387	487	297	370	774	1250	-1	-1	355	115
500089_2031	6819	1495	1575	654	225	370	529	1129	-1	-1	437	405
500089_2032	8742	1485	2144	524	170	669	1109	1843	-1	-1	416	382
500089_2033	10082	954	2352	496	133	761	1312	1562	-1	-1	535	1977
500089_2034	9355	1246	1962	742	134	412	1128	1313	-1	-1	366	2052
500089_2035	8787	1426	2141	687	199	278	791	1535	-1	-1	339	1391
500089_2036	5390	700	1663	557	36	175	431	477	-1	-1	344	1007
500089_2037	6405	1142	1043	534	243	302	543	657	-1	-1	208	1733
500089_2038	4558	614	1380	294	100	245	398	759	-1	-1	155	613
500089_2039	7517	814	1400	832	168	875	839	955	-1	-1	80	1554
500089_2040	8885	1371	1672	800	330	383	790	1181	-1	-1	248	2110
500089_2041	3927	859	711	395	132	144	324	522	-1	-1	258	582
500089_2042	6780	593	1279	552	168	275	659	1207	-1	-1	249	1798
500089_2043	9556	1083	1929	825	200	367	514	1517	-1	-1	471	2650
500089_2044	10733	1533	1437	638	337	360	796	1105	-1	-1	211	4316
500089_2045	10188	1199	2022	673	165	298	919	1644	-1	-1	394	2874
500097_3001	9891	-1	903	1306	503	500	1954	1929	-1	-1	1370	1426
500097_3002	9717	-1	1379	1448	387	493	1814	2309	-1	-1	541	1346
500097_3003	6694	-1	944	478	141	360	1376	1905	-1	-1	327	1163
500097_3004	7026	-1	923	813	386	355	1328	1471	-1	-1	668	1082
500097_3005	7125	-1	1281	667	489	385	1441	1441	-1	-1	674	747
500097_3006	10015	-1	1387	1753	244	490	1835	2211	-1	-1	658	1437
500097_3007	9191	-1	1204	370	121	595	2178	2246	-1	-1	883	1594
500097_3008	14259	-1	1583	1553	700	841	3063	3391	-1	-1	957	2171
500097_3009	12371	-1	1584	1048	819	787	2883	2372	-1	-1	948	1930
500097_3010	9812	-1	1457	1050	502	623	2313	1983	-1	-1	542	1342
500097_3011	10747	-1	1527	1101	540	684	2593	2136	-1	-1	696	1470
500097_3012	8468	-1	1315	994	530	468	1697	1617	-1	-1	533	1314
500097_3013	12163	-1	1280	1450	1332	899	3412	952	-1	-1	452	2386
500097_3014	14661	-1	1212	1361	738	1430	5301	1913	-1	-1	593	2113
500097_3015	12765	-1	1605	1725	1033	914	3396	1911	-1	-1	543	1638
500097_3016	12041	-1	1602	1293	578	822	3095	1891	-1	-1	740	2020
500097_3017	14185	-1	2003	1112	675	1074	3923	3056	-1	-1	789	1553
500097_3018	10146	-1	944	971	584	613	2376	2372	-1	-1	716	1570
500097_3019	9566	-1	1516	1316	807	499	1843	1312	-1	-1	704	1569
500097_3020	10335	-1	1849	1220	522	470	1774	2136	-1	-1	747	1617
500097_3021	10801	-1	1528	1166	352	583	2144	2389	-1	-1	962	1677
500097_3022	11706	-1	2025	1586	651	508	1895	2561	-1	-1	591	1889
500097_3023	12429	-1	2101	1294	651	521	1856	3573	-1	-1	908	1525
500097_3024	12612	-1	2102	1127	946	651	2250	3049	-1	-1	777	1710
500097_3025	11468	-1	1631	1631	197	675	2528	2319	-1	-1	675	1812
500097_3026	13196	-1	1482	1670	653	778	2838	3229	-1	-1	815	1731
