ns1:VSTRANA	ns1:NAZEVCELK	ns1:NAZEV_STRV	ns1:ZKRATKAV30	ns1:ZKRATKAV8	ns1:POCSTR_SLO
180	Klub sociálně demokratické orientace	Klub sociálně demokratické orientace	Klub sociál.demokrat.orientace	KSDO	1
181	Nestraníci	Nestraníci	Nestraníci	Nestran.	1
182	Karlovarská občanská alternativa	Karlovarská občanská alternativa	Karlovar.občanská alternativa	KOA	1
183	Alternativa pro občany	Alternativa pro občany	Alternativa pro občany	AO	1
184	Hnutí LEPŠÍ ŘEPY	Hnutí LEPŠÍ ŘEPY	Hnutí LEPŠÍ ŘEPY	HLŘ	1
185	Patrioti - hnutí za lepší Ústí n.L.	Patrioti - Hnutí za lepší Ústí n.L.	Patrioti-Hn.za lepší Ústí n.L.	P-HLÚ	1
186	Hnutí za lepší bydlení	Hnutí za lepší bydlení	Hnutí za lepší bydlení	HZLB	1
187	Občansko demokratické sdružení Zlín	Občansko demokratické sdružení Zlín	Občansko demokr.sdružení Zlín	ODSZ	1
188	SEMILÁCI	SEMILÁCI	SEMILÁCI	PSS	1
189	Zlínské sdružení živnostníků a podnikatelů	Zlínské sdružení živnostníků a podnikatelů	Zlín.sdruž.živnost.a podnikat.	ZSŽP	1
190	Mimoňská obroda	Mimoňská obroda	Mimoňská obroda	OHMO	1
191	MĚSTO I MLÁDEŽI	MĚSTO I MLÁDEŽI	MĚSTO I MLÁDEŽI	MIM	1
192	HLAVU VZHŮRU - volební blok	HLAVU VZHŮRU - volební blok	HLAVU VZHŮRU - volební blok	HLAVU VZHŮRU	1
193	Volba pro Mladou Boleslav	Volba pro Mladou Boleslav	Volba pro Mladou Boleslav	VpMB	1
194	ZVON	ZVON	ZVON	PHZ	1
195	Hnutí pro Prahu 11	Hnutí pro Prahu 11	Hnutí pro Prahu 11	HPP 11	1
196	Strana Svobody	Strana Svobody	Strana Svobody	Str.Svob	1
197	NESPOKOJENÍ OBČANÉ!	NESPOKOJENÍ OBČANÉ!	NESPOKOJENÍ OBČANÉ!	NO!	1
198	Republikánská strana Čech, Moravy a Slezska	Republikánská strana Čech, Moravy a Slezska	Republ.str.Čech,Moravy a Slez.	RSČMS	1
199	Klíčové hnutí	Klíčové hnutí	Klíčové hnutí	KH	1
200	Demokracie	Demokracie	Demokracie	DK	1
201	Koalice KDU-ČSL, ČSNS	Koalice KDU-ČSL, ČSNS	Koalice KDU-ČSL, ČSNS		2
202	Koalice KDU-ČSL, ČSNS, US	Koalice KDU-ČSL, ČSNS, US	Koalice KDU-ČSL, ČSNS, US		3
203	Koalice KDU-ČSL, SZ, DEU	Koalice KDU-ČSL, SZ, DEU	Koalice KDU-ČSL, SZ, DEU		3
204	Koalice KDU-ČSL, SZ, NEZ	Koalice KDU-ČSL, SZ, NEZ	Koalice KDU-ČSL, SZ, NEZ		3
205	Koalice KDU-ČSL, ODA	Koalice KDU-ČSL, ODA	Koalice KDU-ČSL, ODA		2
206	Koalice KDU-ČSL, ODA, ODS, US	Koalice KDU-ČSL, ODA, ODS, US	Koalice KDU-ČSL, ODA, ODS, US		4
207	Koalice KDU-ČSL, ODA, DEU	Koalice KDU-ČSL, ODA, DEU	Koalice KDU-ČSL, ODA, DEU		3
208	Čtyřkoalice	Čtyřkoalice	Čtyřkoalice	4KOALICE	4
209	Koalice KDU-ČSL, KSČM	Koalice KDU-ČSL, KSČM	Koalice KDU-ČSL, KSČM		2
210	Koalice KDU-ČSL, ODS	Koalice KDU-ČSL, ODS	Koalice KDU-ČSL, ODS		2
211	Koalice KDU-ČSL, ODS, US	Koalice KDU-ČSL, ODS, US	Koalice KDU-ČSL, ODS, US		3
212	Koalice KDU-ČSL, DEU	Koalice KDU-ČSL, DEU	Koalice KDU-ČSL, DEU		2
213	Koalice KDU-ČSL, DEU, US	Koalice KDU-ČSL, DEU, US	Koalice KDU-ČSL, DEU, US		3
214	Koalice KDU-ČSL, HSMSMNSJ	Koalice KDU-ČSL, HSMSMNSJ	Koalice KDU-ČSL, HSMSMNSJ		2
215	Koalice KDU-ČSL, NEZ	Koalice KDU-ČSL, NEZ	Koalice KDU-ČSL, NEZ		2
216	Koalice KDU-ČSL, US	Koalice KDU-ČSL, US	Koalice KDU-ČSL, US		2
217	Koalice KDU-ČSL, SOS	Koalice KDU-ČSL, SOS	Koalice KDU-ČSL, SOS		2
218	Koalice KDU-ČSL, SKS	Koalice KDU-ČSL, SKS	Koalice KDU-ČSL, SKS		2
219	Koalice ČSNS, SZ, KAN, NEZ	Koalice ČSNS, SZ, KAN, NEZ	Koalice ČSNS, SZ, KAN, NEZ		4
220	Koalice ČSNS, SZ, DEU	Koalice ČSNS, SZ, DEU	Koalice ČSNS, SZ, DEU		3
221	Koalice ČSNS, ČSSD	Koalice ČSNS, ČSSD	Koalice ČSNS, ČSSD		2
222	Koalice ČSNS, ODA	Koalice ČSNS, ODA	Koalice ČSNS, ODA		2
223	Koalice ČSNS, SŽJ	Koalice ČSNS, SŽJ	Koalice ČSNS, SŽJ		2
224	Koalice ČSNS, ODS	Koalice ČSNS, ODS	Koalice ČSNS, ODS		2
225	Koalice ČSNS, DEU	Koalice ČSNS, DEU	Koalice ČSNS, DEU		2
226	Koalice ČSNS, US	Koalice ČSNS, US	Koalice ČSNS, US		2
227	Koalice SZ, ČSSD	Koalice SZ, ČSSD	Koalice SZ, ČSSD	SZ+ČSSD	2
228	Koalice SZ, ODA	Koalice SZ, ODA	Koalice SZ, ODA		2
229	Koalice SZ, KAN, NEZ	Koalice SZ, KAN, NEZ	Koalice SZ, KAN, NEZ		3
230	Koalice ČSSD, SŽJ	Koalice ČSSD, SŽJ	Koalice ČSSD, SŽJ		2
231	Koalice ČSSD, KSČM	Koalice ČSSD, KSČM	Koalice ČSSD, KSČM		2
232	Koalice ČSSD, ODS	Koalice ČSSD, ODS	Koalice ČSSD, ODS		2
233	Koalice ČSSD, SDS	Koalice ČSSD, SDS	Koalice ČSSD, SDS		2
234	Koalice ČSSD, HSMSMNSJ	Koalice ČSSD, HSMSMNSJ	Koalice ČSSD, HSMSMNSJ		2
235	Koalice ČSSD, SV	Koalice ČSSD, SV	Koalice ČSSD, SV		2
236	Koalice SPR-RSČ, SDČR	Koalice SPR-RSČ, SDČR	Koalice SPR-RSČ, SDČR		2
237	Koalice SPR-RSČ, SDČR, MoDS	Koalice SPR-RSČ, SDČR, MODS	Koalice SPR-RSČ, SDČR, MODS		3
238	Koalice ODA, KAN, DEU	Koalice ODA, KAN, DEU	Koalice ODA, KAN, DEU		3
239	Koalice ODA, KAN, DEU, US	Koalice ODA, KAN, DEU, US	Koalice ODA, KAN, DEU, US		4
240	Koalice ODA, ODS	Koalice ODA, ODS	Koalice ODA, ODS		2
241	Koalice ODA, ODS, DEU	Koalice ODA, ODS, DEU	Koalice ODA, ODS, DEU		3
242	Koalice ODA, DEU	Koalice ODA, DEU	Koalice ODA, DEU		2
243	Koalice ODA, NEZ	Koalice ODA, NEZ	Koalice ODA, NEZ		2
244	Koalice ODA, US	Koalice ODA, US	Koalice ODA, US		2
245	Koalice ODA, SOS	Koalice ODA, SOS	Koalice ODA, SOS		2
246	Koalice SŽJ, CAO	Koalice SŽJ, CAO	Koalice SŽJ, CAO		2
247	Koalice SŽJ, SDS	Koalice SŽJ, SDS	Koalice SŽJ, SDS		2
248	Koalice KAN, DEU	Koalice KAN, DEU	Koalice KAN, DEU		2
249	Koalice KAN, DEU, US	Koalice KAN, DEU, US	Koalice KAN, DEU, US		3
250	Koalice PA, PB, SKS	Koalice PA, PB, SKS	Koalice PA, PB, SKS		3
251	Koalice KSČM, SDS	Koalice KSČM, SDS	Koalice KSČM, SDS		2
252	Koalice ODS, DEU	Koalice ODS, DEU	Koalice ODS, DEU		2
253	Koalice ODS, US	Koalice ODS, US	Koalice ODS, US		2
254	Koalice DEU, MoDS	Koalice DEU, MoDS	Koalice DEU, MoDS		2
255	Koalice DEU, US	Koalice DEU, US	Koalice DEU, US		2
256	MORAVSKÁ KOALICE	MORAVSKÁ KOALICE	MORAVSKÁ KOALICE	MORKOAL	2
257	Koalice NEZ, US	Koalice NEZ, US	Koalice NEZ, US		2
258	REPUBLIKÁNI MIROSLAVA SLÁDKA	REPUBLIKÁNI MIROSLAVA SLÁDKA	REPUBLIKÁNI MIROSLAVA SLÁDKA	REPUB-MS	3
259	Koalice České strany národně sociální a politického hnutí NEZÁVISLÍ	Koal.České str.národ.sociální a pol.hn.NEZÁVISLÍ	K.Čes.str.nár.soc. a NEZÁVISLÍ	ČSNS-NEZ	2
260	Strana za životní jistoty a Strana zelených	Strana za životní jistoty a Strana zelených	Str.za živ.jist.,Str.zelených	SŽJ-SZ	2
261	Koalice Pravý blok - Klub angažovaných nestraníků	Koalice Pravý blok - Klub angažovaných nestraníků	K.Pravý blok-Klub angaž.nestr.	PB-KAN	2
262	PROSPERITA VYSOČINY	PROSPERITA VYSOČINY	PROSPERITA VYSOČINY	PROSPER	2
263	KOALICE NEPARLAMENTNÍCH STRAN	KOALICE NEPARLAMENTNÍCH STRAN	KOALICE NEPARLAMENTNÍCH STRAN	NEPARLAM	2
265	Sdružení pro Pardubický kraj	Sdružení pro Pardubický kraj	Sdružení pro Pardubický kraj	SDRUŽ.PK	2
266	Náš kraj 21	Náš kraj 21	Náš kraj 21	KRAJ21	2
267	ŠANCE PRO OLOMOUCKÝ KRAJ	ŠANCE PRO OLOMOUCKÝ KRAJ	ŠANCE PRO OLOMOUCKÝ KRAJ	ŠANCEOK	3
268	Koalice politických stran Volba pro město a Strana pro otevřenou společnost	Koal.pol.str.Volba pro město a Str.pro otevř.spol.	Volba pro město,Str.pro ot.sp.	VPM-OS	2
269	Koalice Unie pro Evropu a Strany zelených	Koalice Unie pro Evropu a Strany zelených	Unie pro Evropu,Str.zelených	UPE-SZ	2
270	Koalice KDU-ČSL, US-DEU	Koalice KDU-ČSL, US-DEU	Koalice KDU-ČSL, US-DEU		2
272	Moravskoslezská koalice	Moravskoslezská koalice	Moravskoslezská koalice	MSLKOAL	2
273	Pražané Praze - Praha Pražanům	Pražané Praze - Praha Pražanům	Pražané Praze-Praha Pražanům		2
274	Koalice ED, ODA	Koalice ED, ODA	Koalice ED, ODA	ED,ODA	2
275	Koalice KDU-ČSL, US-DEU, VPM	Koalice KDU-ČSL, US-DEU, VPM	Koalice KDU-ČSL, US-DEU, VPM		3
276	Koalice SŽJ, VPM	Koalice SŽJ, VPM	Koalice SŽJ, VPM		2
277	Koalice MoDS, HSMS, SŽJ	Koalice MoDS, HSMS, SŽJ	Koalice MoDS, HSMS, SŽJ		3
278	Koalice SNK, VPM	Koalice SNK, VPM	Koalice SNK, VPM		2
279	Koalice KDU-ČSL, ČSSD	Koalice KDU-ČSL, ČSSD	Koalice KDU-ČSL, ČSSD		2
280	Koalice KDU-ČSL, SNK	Koalice KDU-ČSL, SNK	Koalice KDU-ČSL, SNK	KDUČSLED	2
281	Koalice KDU-ČSL, ODA, US-DEU	Koalice KDU-ČSL, ODA, US-DEU	Koalice KDU-ČSL, ODA, US-DEU		3
282	Koalice US-DEU, SNK	Koalice US-DEU, SNK	Koalice US-DEU, SNK		2
283	Koalice ČSNS, SOS, VPM	Koalice ČSNS, SOS, VPM	Koalice ČSNS, SOS, VPM		3
285	Koalice SZ, SNK	Koalice SZ, SNK	Koalice SZ, SNK		2
286	Koalice ČSSD, US-DEU	Koalice ČSSD, US-DEU	Koalice ČSSD, US-DEU		2
287	Koalice RMS, SŽJ	Koalice RMS, SŽJ	Koalice RMS, SŽJ		2
288	Koalice SNK, N	Koalice SNK, N	Koalice SNK, N		2
289	Koalice US-DEU, ČSNS	Koalice US-DEU, ČSNS	Koalice US-DEU, ČSNS		2
290	Koalice ODA, CZ	Koalice ODA, CZ	Koalice ODA, CZ		2
291	Koalice RMS, SDČR, SPR-RSČ	Koalice RMS, SDČR, SPR-RSČ	Koalice RMS, SDČR, SPR-RSČ		3
292	Koalice SOS, SZ	Koalice SOS, SZ	Koalice SOS, SZ		2
293	Koalice PB, SZR	Koalice PB, SZR	Koalice PB, SZR		2
294	Koalice ODA, SNK	Koalice ODA, SNK	Koalice ODA, SNK		2
295	Koalice SNK, SZ, SOS	Koalice SNK, SZ, SOS	Koalice SNK, SZ, SOS		3
296	Koalice US-DEU, SZ	Koalice US-DEU, SZ	Koalice US-DEU, SZ		2
297	Koalice US-DEU, ODA	Koalice US-DEU, ODA	Koalice US-DEU, ODA	USDEUODA	2
298	Koalice ČSNS, VPM, KAN	Koalice ČSNS, VPM, KAN	Koalice ČSNS, VPM, KAN		3
299	Koalice CZ, COEX, NEZ, ODA	Koalice CZ, COEX, NEZ, ODA	Koalice CZ, COEX, NEZ, ODA		4
300	Koalice ČSNS, SV SOS	Koalice ČSNS, SV SOS	Koalice ČSNS, SV SOS		2
301	Koalice KSČM, SZ	Koalice KSČM, SZ	Kolaice KSČM, SZ		2
302	Koalice ODS, US-DEU	Koalice ODS, US-DEU	Koalice ODS, US-DEU		2
303	Koalice KDU-ČSL, SZ	Koalice KDU-ČSL, SZ	Koalice KDU-ČSL, SZ	KDUČSLSZ	2
